Protocol,Info,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,label
Modbus/TCP,"   Query: Trans:     1; Unit:   1, Func:   1: Read Coils",0,1,0,0,0,6,1,1,0,0,0,1,,,,,,1
Modbus/TCP,"Response: Trans:     1; Unit:   1, Func:   1: Read Coils",0,1,0,0,0,4,1,1,1,0,,,,,,,,1
Modbus/TCP,"   Query: Trans:     2; Unit:   1, Func:   1: Read Coils",0,2,0,0,0,6,1,1,0,0,0,1,,,,,,1
Modbus/TCP,"Response: Trans:     2; Unit:   1, Func:   1: Read Coils",0,2,0,0,0,4,1,1,1,0,,,,,,,,1
Modbus/TCP,"   Query: Trans:     3; Unit:   1, Func:   1: Read Coils",0,3,0,0,0,6,1,1,0,1,0,1,,,,,,1
Modbus/TCP,"Response: Trans:     3; Unit:   1, Func:   1: Read Coils",0,3,0,0,0,4,1,1,1,0,,,,,,,,1
Modbus/TCP,"   Query: Trans:     4; Unit:   1, Func:   1: Read Coils",0,4,0,0,0,6,1,1,0,2,0,1,,,,,,1
Modbus/TCP,"Response: Trans:     4; Unit:   1, Func:   1: Read Coils",0,4,0,0,0,4,1,1,1,0,,,,,,,,1
Modbus/TCP,"   Query: Trans:     5; Unit:   1, Func:   1: Read Coils",0,5,0,0,0,6,1,1,0,3,0,1,,,,,,1
Modbus/TCP,"Response: Trans:     5; Unit:   1, Func:   1: Read Coils",0,5,0,0,0,4,1,1,1,0,,,,,,,,1
Modbus/TCP,"   Query: Trans:     6; Unit:   1, Func:   1: Read Coils",0,6,0,0,0,6,1,1,0,4,0,1,,,,,,1
Modbus/TCP,"Response: Trans:     6; Unit:   1, Func:   1: Read Coils. Exception returned ",0,6,0,0,0,3,1,81,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:     7; Unit:   1, Func:   2: Read Discrete Inputs",0,7,0,0,0,6,1,2,0,0,0,1,,,,,,1
Modbus/TCP,"Response: Trans:     7; Unit:   1, Func:   2: Read Discrete Inputs. Exception returned ",0,7,0,0,0,3,1,82,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:     8; Unit:   1, Func:   2: Read Discrete Inputs",0,8,0,0,0,6,1,2,0,1,0,1,,,,,,1
Modbus/TCP,"Response: Trans:     8; Unit:   1, Func:   2: Read Discrete Inputs. Exception returned ",0,8,0,0,0,3,1,82,2,,,,,,,,,1
Modbus/TCP,"   Query: Trans:     9; Unit:   1, Func:   2: Read Discrete Inputs",0,9,0,0,0,6,1,2,0,2,0,1,,,,,,1
